buyer,packs_id & quantity,price,txHash,timestamp
0x0514d6bde0a20ae1507b40ce4c8e74f32db24152,6 1x,4.39 WRON,0xfca08506922fd39c60bdda6349a4f5dec270d62a8f511c44f072c0c41624d3dd,1739561722
0x0514d6bde0a20ae1507b40ce4c8e74f32db24152,1 1x,2.13 WRON,0x92aca4fdd020f1182cfb22f96ee3d511b2767b8f885f26e8e843a3cc32fcae38,1739561671
0xd52a45f439d5fff1854b031fbef7d875f82522a2,12 1x,2.25 WRON,0x266107dc062ad01198d9f0d1dd1d41dd047c51c47ea3fceb8dd54aecd99591a1,1739549322
0x727e90a151c1fc56b9a9efe37f09d631376c7b2e,11 1x,0.8 WRON,0xd8399bc15a35690e4224cb553ead7193e61775324e1020d68534f054519bf965,1739539478
0xd48913d3a2da842f6f520f9cc57a840ddb196cc6,1 1x,2.13 WRON,0xefac53fbc4b7570a131ac5112533d59752dcbc6f2024ff765e337c9f9df53bc0,1739522076
0xfb9304c2c32104353f0b5467cbcba62a33f5ccbd,1 1x,1.9 WRON,0x10a9867c0d8595f6d4231ec81ff29b4fe2548a78efdc7a467cea45dc30a63a7b,1739517182
0xfb9304c2c32104353f0b5467cbcba62a33f5ccbd,6 1x,3.8 WRON,0x2e940928d69f7baf7a3e5f4904a4c8d00236952230aebeece7f13d8c49c70ebc,1739517050
0xfb9304c2c32104353f0b5467cbcba62a33f5ccbd,7 1x,12.66 WRON,0x74a8b02c85c994058ef113489cfdbe73f2f1e5fc78a6978de1c6eac0b410f913,1739516804
0xfb9304c2c32104353f0b5467cbcba62a33f5ccbd,7 1x,12.66 WRON,0xfbe8ae355f1c5e37420a365963171863e57a900abd243797025b5db351b53148,1739516738
0x98a9f634f5e5d24a7ff0d8e0eabce7b3e99f7aba,17 1x,9.1 WRON,0x66f440700adc9cd818956fb92c991f1cbdfff428c90f0cd1bbdfeea8576424a8,1739508962
0x7290a0df7e0ea199b8cb119579f20543788aebb6,7 1x,10.9 WRON,0x1b3fdfdf474bda063c8fa21f2f7baf19a271f45008d03b9786eeb2ed2d42407f,1739503691
0x7290a0df7e0ea199b8cb119579f20543788aebb6,2 1x,5.5 WRON,0x6e017c25bbf6dd174353185dc4cabe406b509bf3c74d9083e2747e5cada20110,1739494756
0x7290a0df7e0ea199b8cb119579f20543788aebb6,1 1x,2 WRON,0xdfe51ce343a3838423905c110037c36e196b2863b0c92ff37f518a440143d2a9,1739491276
0x7290a0df7e0ea199b8cb119579f20543788aebb6,1 1x,1.95 WRON,0x877483833a5f831bc1db093a56ed4aeea06fab1498aaf7c1421ed8f4a492ab22,1739491255
0x7290a0df7e0ea199b8cb119579f20543788aebb6,1 1x,1.95 WRON,0x591f7df776667d2544f819fadd83c36224ba6724e0ebbcd25f84185d576e4aef,1739491201
0x0514d6bde0a20ae1507b40ce4c8e74f32db24152,15 1x,0.23 WRON,0x59192baff133df93f93709eb62c7cc278750db2737e9936c176aac98ce483b89,1739485290
0x5c1b7b517f4f8a88a7c9a6d3fe367afe2fb2b974,10 4x,0.36 WRON,0x2acc2ba33bb0df115d9366a2e7da4530a0ffc8d49dbe1d1fe12f3474b7e35bca,1739477747
0x5c1b7b517f4f8a88a7c9a6d3fe367afe2fb2b974,15 5x,1.15 WRON,0xcd067ddad11a6165f3467634cbfe8e446692af3fe203eb7b69af9cf03d96067c,1739477693
0x52587f74f11de77d074afb26d45dec90b55b5c3e,16 5x,5.45 WRON,0xdb703ae7f691b56c1a4cb73ec3ff38f7562680c10c7f7a09f370ec2faa3656b2,1739464913
0x1ed9b1f2313e4c32616af312c54f735959603835,10 1x,0.09 WRON,0x1e7d6b0aaea2e6fc657e7110f57f4d94f3a5245a8c32d448f485462a3959b7ac,1739458133
0x52587f74f11de77d074afb26d45dec90b55b5c3e,16 2x,2.16 WRON,0x7f116d73976ec169f25d529d74dfb0e55067a525a166c05f10ff8cee48a707b9,1739457629
0x52587f74f11de77d074afb26d45dec90b55b5c3e,16 2x,2.16 WRON,0x138103be3e656008e3b41184d8dc8794adc9bf5482a060d4a19509328297129e,1739457164
0x98a9f634f5e5d24a7ff0d8e0eabce7b3e99f7aba,12 1x,2.34 WRON,0xec52e793ebc9ae253e6730a65f71cdefe426eb09ae429adae7d5d0120ee87d61,1739444891
0xd4ffaa174e5e0a246ad6dd2544c710ae428956ca,16 13x,12.35 WRON,0xf558aebff9533d2f633f10b0f8ca3ff0afedcfbdf640b9d757a70cc463c42521,1739443472
0xb3042355e5c507973af1c77fa52239db15e9ca0c,16 4x,3.8 WRON,0xd56154d957ec996c70c6b06cd819a7bf2e20cc06057233ab7d36a58dc137cece,1739416064
